changeDate,recordId,slug,field,before,after,reason,changedBy
2026-05-21,CFP-0001,gabriela-hybrid-solar-battery-storage-project,region,Latin America,Other,Mapped non-core region into approved taxonomy.,normalize-project-records.ts
2026-05-21,CFP-0001,gabriela-hybrid-solar-battery-storage-project,preConstructionApproach,,Development,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0001,gabriela-hybrid-solar-battery-storage-project,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0001,gabriela-hybrid-solar-battery-storage-project,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0001,gabriela-hybrid-solar-battery-storage-project,potentialOpportunities,,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0001,gabriela-hybrid-solar-battery-storage-project,opportunityCategories,,Electrical Works; Grid Connection; O&M; Financing / Investment; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0002,german-grid-expansion,preConstructionApproach,,Development,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0002,german-grid-expansion,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0002,german-grid-expansion,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0002,german-grid-expansion,potentialOpportunities,,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0002,german-grid-expansion,opportunityCategories,,Electrical Works; Grid Connection; Transmission; O&M; Financing / Investment; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0003,sakarya-gas-field-phase-3-offshore-development,preConstructionApproach,,Alliance Development Phase,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0003,sakarya-gas-field-phase-3-offshore-development,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0003,sakarya-gas-field-phase-3-offshore-development,mapReady,Yes,true,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0003,sakarya-gas-field-phase-3-offshore-development,potentialOpportunities,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0003,sakarya-gas-field-phase-3-offshore-development,opportunityCategories,,Electrical Works; Grid Connection; O&M; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0004,1-250-gwh-of-renewable-electricity-in-italy,preConstructionApproach,,Unknown,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0004,1-250-gwh-of-renewable-electricity-in-italy,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0004,1-250-gwh-of-renewable-electricity-in-italy,mapReady,Needs review,false,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
2026-05-21,CFP-0004,1-250-gwh-of-renewable-electricity-in-italy,potentialOpportunities,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Copied commercialOpportunity into preferred v0.1 field.,normalize-project-records.ts
2026-05-21,CFP-0004,1-250-gwh-of-renewable-electricity-in-italy,opportunityCategories,,Electrical Works; Grid Connection; O&M; Financing / Investment; Design / Engineering; Project Controls; Commercial Management,"Added controlled v0.1 opportunity categories from sector, stage and title-derived project type.",normalize-project-records.ts
2026-05-21,CFP-0005,wagerup-bess,preConstructionApproach,,Unknown,Added v0.1 pre-construction approach field.,normalize-project-records.ts
2026-05-21,CFP-0005,wagerup-bess,confidenceLevel,Title-derived - requires article review,Needs Review,Mapped title-derived confidence into Needs Review.,normalize-project-records.ts
2026-05-21,CFP-0005,wagerup-bess,mapReady,Needs review,false,Normalized yes/no map readiness to boolean text.,normalize-project-records.ts
