changeDate,file,recordId,field,before,after,reason,changedBy
2026-05-21,projects_master_sample_5_timeline.csv,el-patrimonio-solar-project,record,previous clean sample project row,timeline sample project row created,"Added explicit construction start, construction completion, operations start, summaries and latestCfArticleUrl.",Codex timeline sample
2026-05-21,projects_master_sample_5_timeline.csv,d35-motorway-ulibice-horice,record,previous clean sample project row,timeline sample project row created,"Added explicit construction start, construction completion, operations start, summaries and latestCfArticleUrl.",Codex timeline sample
2026-05-21,projects_master_sample_5_timeline.csv,beacon-point-ai-data-center-campus,record,previous clean sample project row,timeline sample project row created,"Added explicit construction start, construction completion, operations start, summaries and latestCfArticleUrl.",Codex timeline sample
2026-05-21,projects_master_sample_5_timeline.csv,commonwealth-lng,record,previous clean sample project row,timeline sample project row created,"Added explicit construction start, construction completion, operations start, summaries and latestCfArticleUrl.",Codex timeline sample
2026-05-21,projects_master_sample_5_timeline.csv,german-grid-expansion-amprion-financing,record,previous clean sample project row,timeline sample project row created,"Added explicit construction start, construction completion, operations start, summaries and latestCfArticleUrl.",Codex timeline sample
2026-05-21,project_updates_sample_5_timeline.csv,UPD-ELP-20260513,record,previous clean sample update row,timeline sample update row created,"Added exact raw cfArticleUrl, updateSummary and milestoneSummary; retained simplified milestoneType taxonomy.",Codex timeline sample
2026-05-21,project_updates_sample_5_timeline.csv,UPD-D35-20260507,record,previous clean sample update row,timeline sample update row created,"Added exact raw cfArticleUrl, updateSummary and milestoneSummary; retained simplified milestoneType taxonomy.",Codex timeline sample
2026-05-21,project_updates_sample_5_timeline.csv,UPD-BEACON-20260514,record,previous clean sample update row,timeline sample update row created,"Added exact raw cfArticleUrl, updateSummary and milestoneSummary; retained simplified milestoneType taxonomy.",Codex timeline sample
2026-05-21,project_updates_sample_5_timeline.csv,UPD-CWLNG-20260420,record,previous clean sample update row,timeline sample update row created,"Added exact raw cfArticleUrl, updateSummary and milestoneSummary; retained simplified milestoneType taxonomy.",Codex timeline sample
2026-05-21,project_updates_sample_5_timeline.csv,UPD-CWLNG-20260516,record,previous clean sample update row,timeline sample update row created,"Added exact raw cfArticleUrl, updateSummary and milestoneSummary; retained simplified milestoneType taxonomy.",Codex timeline sample
2026-05-21,project_updates_sample_5_timeline.csv,UPD-GERGRID-20250908,record,previous clean sample update row,timeline sample update row created,"Added exact raw cfArticleUrl, updateSummary and milestoneSummary; retained simplified milestoneType taxonomy.",Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-ELP-001,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-ELP-002,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-ELP-003,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-D35-001,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-D35-002,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-D35-003,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-BEACON-001,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-BEACON-002,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-CWLNG-001,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-CWLNG-002,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-CWLNG-003,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-CWLNG-004,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-CWLNG-005,sourceUrl,sample source label or article source,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-GERGRID-001,sourceUrl,sample source label or article source,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-GERGRID-002,sourceUrl,sample source label or article source,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
2026-05-21,project_parties_sample_5_timeline.csv,PTY-GERGRID-003,sourceUrl,sample source label or article source,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Aligned party sourceUrl to exact ConstructionFront update URL where linked to an update.,Codex timeline sample
