changeDate,slug,cfArticleUrl,field,before,after,reason,changedBy
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,stateProvince,,Western Australia,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,cityArea,Australia,Wagerup Power Station / South West,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,latitude,-25.2744,-32.929,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,longitude,133.7751,115.889,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,projectStage,Unknown,Contract Awarded,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,bdTiming,Low Visibility,Contractor Route,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,projectValue,,50 million,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,currency,,AUD,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,mainContractor,GenusPlus,GenusPlus Group,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,keyContractors,,Shanghai Electric Power Design Institute Co. Ltd (SEPD); Sunterra Pty Ltd,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,contractType,Unknown,Balance of Plant works contract,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,procurementStatus,Unknown,BoP contract awarded to GenusPlus,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,commercialOpportunity,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","BoP package awarded; remaining opportunities likely sit with completion, commissioning, integration, local workforce and O&M support rather than main contractor procurement.",10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,confidenceLevel,Needs Review,Confirmed,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
2026-05-21,wagerup-bess,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,sourceUrl,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/; Source cited by article: genus.com.au; alintaenergy.com.au,10-record enrichment pilot: updated from reviewed ConstructionFront article and cited source information.,Codex enrichment pilot
