updateId,projectSlug,articleTitle,cfArticleUrl,publicationDate,articleUpdateType,milestoneType,milestoneSummary,commercialEventType,eventDate,eventYear,eventQuarter,eventDatePrecision,eventDateNotes,eventValueAmount,eventValueCurrency,eventValueScale,eventValueBasis,eventValueNotes,sourceUrl,sourceType,updateSummary,sourceNotes,reviewStatus
UPD-ELP-20260513,el-patrimonio-solar-project,CPS Energy and Ashtrom Break Ground on 150MW El Patrimonio Solar Project in Texas,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,2026-05-13,Construction Start,Under Construction,Groundbreaking/construction start reported; source says construction began in 2025.,PPA / Offtake Agreement; Groundbreaking,2025,2025,Unknown,Year,Article says construction began in 2025.,,,Unknown,Unknown,PPA/offtake value not stated in reviewed article.,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,ConstructionFront + official owner/utility sources cited by article,"Construction start for a 150MWac solar project in Bexar County, with CPS Energy as offtaker and SOLV Energy as construction-through-operations partner.","PPA/offtake detail is commercial, not a construction contract award.",Approved
UPD-D35-20260507,d35-motorway-ulibice-horice,STRABAG consortium wins €177 million D35 motorway contract in the Czech Republic,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,2026-05-07,Contract Award,Contract Award,EUR 177m construction contract awarded; construction start detail captured as Q2 2026.,Construction Contract Award,2026-04,2026,Q2,Quarter,April 2026 captured as Q2; exact day not captured.,177,EUR,Million,Contract Value,Article reports EUR 177 million construction contract award.,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,ConstructionFront + contractor/source information,STRABAG-led consortium won the EUR 177m contract for the 16.3km Úlibice-Hořice D35 motorway section.,JV/consortium parties split in party table.,Approved
UPD-BEACON-20260514,beacon-point-ai-data-center-campus,Jacobs Awarded EPCM Contract for Hut 8’s 1GW Beacon Point AI Data Center Campus in Texas,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,2026-05-14,Contract Award,Contract Award,Sole-source EPCM contract awarded to Jacobs; no construction completion or operational milestone implied.,EPCM Contract Award,,,Unknown,Unknown,Specific award date beyond article publication date not captured.,17,USD,Billion,Phase Value,Article reports USD 17 billion for first two phases associated with the campus.,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,ConstructionFront + official company sources cited by article,Jacobs was awarded EPCM for Hut 8’s planned 1GW Beacon Point AI data center campus in Nueces County.,EPCM award is not evidence that physical construction is complete or operational.,Approved
UPD-CWLNG-20260420,commonwealth-lng,Technip Energies receives substantial authorization to advance Commonwealth LNG ahead of FID,https://constructionfront.com/2026-04-20-technip-energies-receives-substantial-authorization-to-advance-commonwealth-lng-ahead-of-fid/,2026-04-20,Pre-FID Authorization,ECI / Pre-Construction,Substantial authorization to advance work ahead of FID; not formal financial close.,Limited Notice / Authorization to Proceed,,,Unknown,Unknown,Event date beyond article publication date not captured.,,,Unknown,Unknown,No event value captured for pre-FID authorization update.,https://constructionfront.com/2026-04-20-technip-energies-receives-substantial-authorization-to-advance-commonwealth-lng-ahead-of-fid/,ConstructionFront article,Technip Energies received authorization to advance Commonwealth LNG before FID.,"Same project, not a second project record.",Needs Source Check
UPD-CWLNG-20260516,commonwealth-lng,"Caturus Reaches FID, Closes $9.75bn Financing and Issues NTP to Technip Energies for Commonwealth LNG in Louisiana",https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,2026-05-16,FID / Financial Close,FID / Financial Close,"Project-level FID reached, USD 9.75bn financing closed and full NTP issued to Technip Energies.",Financing Close; Full Notice to Proceed,2026-05-16,2026,Q2,Exact Date,Article date used for financing close/FID update date.,9.75,USD,Billion,Project Financing,Article reports USD 9.75 billion project financing close.,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,ConstructionFront + official company sources cited by article,"FID, financing close and full NTP for Commonwealth LNG in Cameron Parish.",Operation timing requires source check.,Needs Source Check
UPD-GERGRID-20250908,german-grid-expansion-amprion-financing,RWE and Apollo Global Management Form Strategic Joint Venture for German Grid Expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,2025-09-08,Financing / Investment,Financing / Investment,Strategic JV/equity contribution for grid expansion programme; not formal project-level financial close.,Joint Venture / Equity Financing,,,Unknown,Unknown,Transaction close timing expected later but exact event date not captured.,3.2,EUR,Billion,JV Contribution,Article reports EUR 3.2 billion upfront JV contribution.,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,ConstructionFront + official company source cited by article,RWE and Apollo formed a strategic JV to support German grid expansion through Amprion-linked investment.,Broad programme/financing record; not a single project dot.,Needs Source Check
UPD-WAGERUP-20250920,wagerup-bess,Genus to Deliver 100MW/200MWh Wagerup BESS for Alinta Energy in Western Australia,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,2025-09-20,Contract Award,Contract Award,Balance-of-plant contract awarded to GenusPlus for Wagerup BESS.,BoP Contract Award,,,Unknown,Unknown,Specific award date beyond article publication date not captured.,50,AUD,Million,Contract Value,Article reports approximately AUD 50 million BoP contract value.,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,ConstructionFront + company sources cited by article,GenusPlus was selected to deliver BoP works for Alinta Energy’s 100MW/200MWh Wagerup BESS.,Capacity and contractor/supplier roles require source-linked review before production scaling.,Approved
UPD-HLRT-20260504,hamilton-lrt,Aecon-led alliance selected for Hamilton LRT civil and utilities works in Ontario,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,2026-05-04,ECI / Alliance Selection,ECI / Pre-Construction,Aecon-led alliance selected for development-phase civil and utilities works.,Alliance Development Phase Selection,,,Unknown,Unknown,Selection date beyond article publication date not captured.,,,Unknown,Unknown,Article reviewed for the sample does not state a contract or project value.,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,ConstructionFront + official/company sources cited by article,Aecon-led alliance selected for Hamilton LRT civil and utilities development phase.,"Development phase, not full construction completion or operational milestone.",Approved
UPD-NSWWTP-20260517,north-shore-wastewater-treatment-plant,Metro Vancouver and Acciona Settle North Shore Wastewater Treatment Plant Claims for $235 Million,https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/,2026-05-17,Dispute / Settlement,Dispute / Settlement,Metro Vancouver and Acciona settled claims for CAD 235m while completion delivery continues.,Settlement,,,Unknown,Unknown,Settlement date beyond article publication date not captured.,235,CAD,Million,Settlement Amount,Article reports CAD 235 million settlement amount.,https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/,ConstructionFront + official/supporting sources cited by article,Metro Vancouver and Acciona settled North Shore WWTP claims; PCL remains current completion contractor.,Settlement is event-specific value; master value tracks programme estimate.,Approved
UPD-OL32-20260511,ol32-skavsta-rail-contract,Feronord Consortium Selected for €1.2 Billion OL32 Skavsta Rail Contract in Sweden,https://constructionfront.com/2026-05-11-feronord-consortium-selected-for-1-2-billion-ol32-skavsta-rail-contract-in-sweden/,2026-05-11,Preferred Bidder / Contract Selection,Preferred Bidder / Shortlist,Feronord consortium selected; first EUR 50m order placed and larger execution phase remains potential.,Staged Contract Selection,,,Unknown,Unknown,Specific selection date beyond article publication date not captured.,50,EUR,Million,Package Value,Article reports first EUR 50 million order; potential execution phase is separately reflected in project value.,https://constructionfront.com/2026-05-11-feronord-consortium-selected-for-1-2-billion-ol32-skavsta-rail-contract-in-sweden/,ConstructionFront + official/company sources cited by article,Feronord consortium selected for OL32 Skavsta rail package with first EUR 50m order and potential EUR 1.2bn execution phase.,Staged collaborative/ECI-style pathway; not yet a simple full construction award.,Approved
