Title,URL,Categories
"What is an Extension of Time Claim (EOT)? Understanding delays in Construction Projects",https://constructionfront.com/what-is-an-extension-of-time-claim/,"Claims &amp; Contract Administration, Knowledge Hub"
"Webuild in consortium with Pizzarotti and Ghella wins two rail contracts worth more than €3.7 bln in Southern Italy",https://constructionfront.com/webuild-consortium-wins-rail-contract-in-southern-italy/,News
Home,https://constructionfront.com/,
"UGL wins 35 MW battery for Alinta Energy in Australia",https://constructionfront.com/ugl-wins-35-mw-battery-for-alinta-energy-in-australia/,News
"What are the existing Delay Analysis Methods? (And When To Use Each)",https://constructionfront.com/delay-analysis-methods/,"Claims &amp; Contract Administration, Knowledge Hub"
Resources,https://constructionfront.com/courses/,
"About us",https://constructionfront.com/about-us/,
"Contact Us",https://constructionfront.com/contact-us/,
"Are Concrete Expansion Joints necessary? (How to Correctly Use Them)",https://constructionfront.com/are-concrete-expansion-joints-necessary/,Engineering
"Vinci Immobilier appoints new President",https://constructionfront.com/2023-06-26-vinci-immobilier-appoints-new-president/,News
"What is a Cold Joint in Concrete? (And How to Fix them!)",https://constructionfront.com/concrete-cold-joint/,Engineering
"Affiliate Disclosure",https://constructionfront.com/affiliate-disclosure/,
"Hyundai E&C awarded multi-billion dollar contracts for refinery in KSA",https://constructionfront.com/2023-06-27-hyundai-ec-awarded-multi-billion-dollar-contracts-for-refinery-in-ksa/,News
"What are Dowels in Concrete? (And Why You Need them)",https://constructionfront.com/what-are-dowels-in-concrete/,Engineering
"Skanska signs a contract for the John F. Kennedy International Airport Central Terminal Area Roadways",https://constructionfront.com/2023-06-28-skanska-signs-a-contract-for-ny-airport/,News
"Jacobs enters into an EPA Agreement with Fortescue Group (FFI) to support group&#8217;s zero-carbon initiative",https://constructionfront.com/2023-06-29-jacobs-enters-into-an-epa-agreement-with-fortescue-group-ffi/,News
"What is an Early Warning Notice? (And How To Effectively Use them)",https://constructionfront.com/what-is-an-early-warning-notice/,"Claims &amp; Contract Administration, Knowledge Hub"
"Two Consortia shortlisted to Deliver Melton Hospital PPP in Australia",https://constructionfront.com/2023-06-30-two-consortia-shortlisted-to-deliver-melton-hospital-ppp-in-australia/,"News, Uncategorized"
"What is a Keyway Joint in Concrete? (and When to use Them)",https://constructionfront.com/keyway-concrete/,Engineering
"Engie wins Transmission Line Concessions in Brazil",https://constructionfront.com/2023-07-03-engie-wins-transmission-line-concession-in-brazil/,News
"Vestas secures 59 MW order for Wind Farm Project in USA",https://constructionfront.com/2023-07-04-vestas-secures-59-mw-order-for-wind-farm-project-in-usa/,News
"Variation Order (VO) in Construction: Templates, Examples and Process",https://constructionfront.com/what-is-a-variation-order/,"Claims &amp; Contract Administration, Knowledge Hub"
"Lendlease appoints new CEO in European Branch",https://constructionfront.com/2023-07-04-lendlease-appoints-new-ceo-in-european-branch/,News
"What is a Concrete Curing Blanket? (And When/Why to Use them?)",https://constructionfront.com/concrete-curing-blanket/,Engineering
