partyId,projectSlug,updateId,partyName,partyRole,partyType,notes,sourceUrl,reviewStatus
PTY-ELP-001,el-patrimonio-solar-project,UPD-ELP-20260513,Ashtrom Renewable Energy,Owner / Developer,Private Developer,Developer named in article.,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,Approved
PTY-ELP-002,el-patrimonio-solar-project,UPD-ELP-20260513,CPS Energy,Offtaker / Utility / Power Purchaser,Utility,20-year PPA covers about 70% of output; not a contractor role.,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,Approved
PTY-ELP-003,el-patrimonio-solar-project,UPD-ELP-20260513,SOLV Energy,Construction and O&M Partner,Contractor / Service Provider,Construction-through-operations role.,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,Approved
PTY-D35-001,d35-motorway-ulibice-horice,UPD-D35-20260507,Ředitelství silnic a dálnic,Client / Public Authority,Public Authority,National road authority/client.,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Approved
PTY-D35-002,d35-motorway-ulibice-horice,UPD-D35-20260507,STRABAG-led consortium,Main Contractor / Consortium,Contractor JV / Consortium,JV/consortium record retained for searchable consortium name.,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Approved
PTY-D35-003,d35-motorway-ulibice-horice,UPD-D35-20260507,STRABAG SIS a.s.,JV Member / Contractor,Contractor,Consortium member split out from JV for searchability.,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Approved
PTY-BEACON-001,beacon-point-ai-data-center-campus,UPD-BEACON-20260514,Hut 8,Owner / Developer,Private Developer / Operator,Owner/developer of Beacon Point campus.,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,Approved
PTY-BEACON-002,beacon-point-ai-data-center-campus,UPD-BEACON-20260514,Jacobs,EPCM Contractor,Engineering / EPCM Contractor,Sole-source EPCM contract award.,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,Approved
PTY-CWLNG-001,commonwealth-lng,UPD-CWLNG-20260516,Caturus / Commonwealth LNG,Owner / Developer,Private Developer,Developer/owner group for Commonwealth LNG.,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Needs Source Check
PTY-CWLNG-002,commonwealth-lng,UPD-CWLNG-20260516,Technip Energies,EPC Contractor,Contractor,Full NTP issued for EPC execution.,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Needs Source Check
PTY-CWLNG-003,commonwealth-lng,UPD-CWLNG-20260516,Baker Hughes,Equipment Supplier,Supplier,Named in pilot source notes as supplier; package should be verified.,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Needs Source Check
PTY-CWLNG-004,commonwealth-lng,UPD-CWLNG-20260516,EQT,Offtaker / Commercial Counterparty,Offtaker / Customer,Classified separately from contractor.,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Needs Source Check
PTY-CWLNG-005,commonwealth-lng,UPD-CWLNG-20260516,PETRONAS,Offtaker / Commercial Counterparty,Offtaker / Customer,Classified separately from contractor.,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Needs Source Check
PTY-GERGRID-001,german-grid-expansion-amprion-financing,UPD-GERGRID-20250908,Amprion,Network Owner / Client,Transmission System Operator,Grid company associated with financing programme.,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Needs Source Check
PTY-GERGRID-002,german-grid-expansion-amprion-financing,UPD-GERGRID-20250908,RWE,Investor / Shareholder,Utility / Investor,"JV participant; investor/shareholder, not contractor.",https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Needs Source Check
PTY-GERGRID-003,german-grid-expansion-amprion-financing,UPD-GERGRID-20250908,Apollo Global Management,Lender / Financier / Investor,Financial Investor,Infrastructure equity financing role; not contractor.,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Needs Source Check
PTY-WAGERUP-001,wagerup-bess,UPD-WAGERUP-20250920,Alinta Energy,Owner / Developer,Utility / Energy Company,Owner/developer for Wagerup BESS.,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,Approved
PTY-WAGERUP-002,wagerup-bess,UPD-WAGERUP-20250920,GenusPlus Group,BoP Contractor,Contractor,Awarded balance-of-plant works.,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,Approved
PTY-WAGERUP-003,wagerup-bess,UPD-WAGERUP-20250920,Shanghai Electric Power Design Institute Co. Ltd (SEPD),Battery System Contractor / Supplier,Supplier / Engineering Contractor,Named in pilot source notes for battery-system role.,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,Approved
PTY-WAGERUP-004,wagerup-bess,UPD-WAGERUP-20250920,Sunterra Pty Ltd,Battery System Contractor / Supplier,Supplier / Contractor,Named in pilot source notes for battery-system role.,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,Approved
PTY-HLRT-001,hamilton-lrt,UPD-HLRT-20260504,Metrolinx,Client / Public Authority,Public Authority,Owner/client for Hamilton LRT.,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,Approved
PTY-HLRT-002,hamilton-lrt,UPD-HLRT-20260504,Hamilton LRT Civil & Utilities Alliance,Alliance / Development Partner,Contractor Alliance,Alliance selected for development phase.,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,Approved
PTY-HLRT-003,hamilton-lrt,UPD-HLRT-20260504,Aecon,Alliance Member / Contractor,Contractor,Lead member named in article title/source notes.,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,Approved
PTY-HLRT-004,hamilton-lrt,UPD-HLRT-20260504,Hatch-Egis-SYSTRA JV,Design Partner / JV,Design JV,Design partner split out for searchability.,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,Approved
PTY-NSWWTP-001,north-shore-wastewater-treatment-plant,UPD-NSWWTP-20260517,Greater Vancouver Sewerage and Drainage District / Metro Vancouver,Owner / Public Authority,Public Authority,Owner/client for wastewater treatment plant.,https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/,Approved
PTY-NSWWTP-002,north-shore-wastewater-treatment-plant,UPD-NSWWTP-20260517,PCL,Current Completion Contractor,Contractor,Current completion role in pilot notes.,https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/,Approved
PTY-NSWWTP-003,north-shore-wastewater-treatment-plant,UPD-NSWWTP-20260517,AECOM,Design Completion Support,Design / Engineering Consultant,Design completion involvement in pilot notes.,https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/,Approved
PTY-NSWWTP-004,north-shore-wastewater-treatment-plant,UPD-NSWWTP-20260517,Acciona Wastewater Solutions LP / ADAPT Consortium,Former Contractor / Settlement Counterparty,Former Contractor / Consortium,Former contractor associated with settlement.,https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/,Approved
PTY-OL32-001,ol32-skavsta-rail-contract,UPD-OL32-20260511,Trafikverket,Client / Public Authority,Public Authority,Client for OL32 Skavsta package.,https://constructionfront.com/2026-05-11-feronord-consortium-selected-for-1-2-billion-ol32-skavsta-rail-contract-in-sweden/,Approved
PTY-OL32-002,ol32-skavsta-rail-contract,UPD-OL32-20260511,Feronord consortium,Selected Consortium,Contractor JV / Consortium,Consortium selected for staged package.,https://constructionfront.com/2026-05-11-feronord-consortium-selected-for-1-2-billion-ol32-skavsta-rail-contract-in-sweden/,Approved
PTY-OL32-003,ol32-skavsta-rail-contract,UPD-OL32-20260511,Infrakraft,Consortium Member,Contractor,Feronord member split out.,https://constructionfront.com/2026-05-11-feronord-consortium-selected-for-1-2-billion-ol32-skavsta-rail-contract-in-sweden/,Approved
