projectName,slug,articleTitle,cfArticleUrl,region,country,stateProvince,cityArea,latitude,longitude,sector,subsector,projectStage,bdTiming,projectValue,currency,ownerDeveloper,clientAuthority,mainContractor,keyContractors,contractType,procurementStatus,fidStatus,constructionStart,completionTarget,commercialOpportunity,confidenceLevel,latestUpdateDate,lastReviewed,sourceUrl,sourceNotes,reviewStatus,mapReady,includeInV0Map
Wagerup BESS,wagerup-bess,Genus to Deliver 100MW/200MWh Wagerup BESS for Alinta Energy in Western Australia,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,Australia & NZ,Australia,Western Australia,Wagerup Power Station / South West,-32.929,115.889,Energy,BESS,Contract Awarded,Contractor Route,50 million,AUD,Alinta Energy,,GenusPlus Group,Shanghai Electric Power Design Institute Co. Ltd (SEPD); Sunterra Pty Ltd,Balance of Plant works contract,BoP contract awarded to GenusPlus,Unknown,,,"BoP package awarded; remaining opportunities likely sit with completion, commissioning, integration, local workforce and O&M support rather than main contractor procurement.",Confirmed,2025-09-20,2026-05-21,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/; Source cited by article: genus.com.au; alintaenergy.com.au,"Approved for beta: article confirms Alinta Energy owner, GenusPlus BoP award, 100MW/200MWh capacity, Wagerup Power Station location, approx AUD 50m contract value, SEPD/Sunterra battery-system role, and SWIS context. Coordinates are approximate for Wagerup Power Station and suitable for beta map placement.",Approved,true,true
El Patrimonio Solar Project,el-patrimonio-solar-project,CPS Energy and Ashtrom Break Ground on 150MW El Patrimonio Solar Project in Texas,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,North America,United States,Texas,Bexar County,29.448,-98.520,Energy,Solar,Under Construction,Late Stage,,,Ashtrom Renewable Energy,CPS Energy,SOLV Energy,CPS Energy; SOLV Energy,20-year Power Purchase Agreement; construction/O&M partner role,Groundbreaking completed; SOLV Energy identified as project partner,Unknown,2025,2027 operational target,"Construction is underway; opportunity is late-stage around subcontracting, commissioning, grid interface, O&M and owner-side support rather than primary award pursuit.",Confirmed,2026-05-13,2026-05-21,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/; Sources cited by article: CPS Energy; Ashtrom Renewable Energy,"Approved for beta: article confirms 150MWac solar project in Bexar County, Ashtrom developer, CPS Energy 20-year PPA for about 70% of output, SOLV Energy construction-through-operations role, construction start in 2025 and expected operation in 2027. Coordinates are Bexar County-level for beta map placement.",Approved,true,true
Big Horn I Wind Project Upgrade,big-horn-i-wind-project-upgrade,Avangrid and Puget Sound Energy Sign PPA for 199.5MW Big Horn I Wind Project Upgrade in Washington,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,North America,United States,Washington,Klickitat County / Columbia River Gorge,45.80,-120.55,Energy,Wind,Planning / Approvals,O&M Opportunity,,,Avangrid,Puget Sound Energy,,Puget Sound Energy,Long-term Power Purchase Agreement supporting wind project upgrade,PPA signed; upgrade contractor and detailed scope not disclosed,Unknown,,2028 commercial operation target for upgraded facility,"Monitor for OEM, component replacement, electrical works, outage planning, logistics and commissioning packages; article does not disclose contractor awards.",Likely,2026-05-21,2026-05-21,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/; Sources cited by article: Avangrid; Washington Utilities and Transportation Commission,"Not approved yet: article confirms Avangrid/PSE PPA, 199.5MW Big Horn I location in Klickitat County and 2028 upgraded commercial operation target, but does not disclose upgrade contractors, price, PPA term or detailed repowering scope. Coordinates are approximate county/project-area placement.",Needs Contractor Verification,true,false
German Grid Expansion,german-grid-expansion,RWE and Apollo Global Management Form Strategic Joint Venture for German Grid Expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Europe,Germany,,,,,Energy,Transmission / Grid,Early Development,Early Watch,3.2 billion,EUR,RWE; Apollo Global Management; Amprion,Amprion,Unknown,RWE; Apollo Global Management,Joint venture / infrastructure equity financing,JV agreed; transaction expected to close Q4 2025 subject to approvals,Unknown,,Q4 2025 expected transaction close,Strategic finance signal for Amprion grid expansion; not a discrete construction package. Monitor Amprion grid development roadmap and future procurement packages.,Likely,2025-09-08,2026-05-21,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/; Source cited by article: rwe.com,"Not approved for beta project map: article confirms RWE/Apollo JV and EUR 3.2bn upfront contribution tied to RWE shareholding in Amprion, but the record represents a broad grid expansion financing programme rather than a specific mappable project package.",Needs Source Check,false,false
Hamilton LRT,hamilton-lrt,Aecon-led alliance selected for Hamilton LRT civil and utilities works in Ontario,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,North America,Canada,Ontario,"Hamilton, McMaster University to Eastgate Square corridor",43.2557,-79.8711,Transport,Rail / Metro,FEED / Design Development,Active Opportunity,,,Metrolinx,Metrolinx,Hamilton LRT Civil & Utilities Alliance / Aecon,Aecon; Hatch-Egis-SYSTRA JV,Alliance development phase / pre-construction services agreement,Development partner selected for civil and utilities works,Unknown,,18-24 month development phase before construction implementation phase,"Active pre-construction window: scope, cost, schedule, utility interfaces and constructability are being refined before implementation.",Confirmed,2026-05-04,2026-05-21,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/; Sources cited by article: Aecon; Metrolinx,"Approved for beta: article confirms Metrolinx owner, Aecon-led alliance selection, Hatch-Egis-SYSTRA design partner, 14km/17-stop corridor from McMaster University to Eastgate Square, and 18-24 month development phase. Coordinates are Hamilton corridor-level.",Approved,true,true
D35 motorway,d35-motorway,STRABAG consortium wins €177 million D35 motorway contract in the Czech Republic,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Europe,Czech Republic,,Úlibice-Hořice corridor,50.37,15.56,Transport,Road / Bridge,Under Construction,Contractor Route,€177 million,EUR,Czech Republic national road authority / Ředitelství silnic a dálnic,Ředitelství silnic a dálnic,STRABAG-led consortium / STRABAG SIS a.s.,STRABAG SIS a.s.,Motorway civil works construction contract,Contract awarded to STRABAG-led consortium,Unknown,April 2026,46-month construction period; road opening planned after 34 months,"Main civil contract awarded and construction started; opportunities are contractor-route subcontracting, structures, utilities, drainage, noise barriers, technology and supply chain packages.",Confirmed,2026-05-07,2026-05-21,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/; Source cited by article: STRABAG; supporting road-authority information,"Approved for beta: article confirms EUR 177m contract, STRABAG-led consortium, 16.3km Úlibice-Hořice motorway section, 18 bridges, April 2026 construction start and delivery period. Coordinates are corridor-level midpoint.",Approved,true,true
Beacon Point AI Data Center Campus,beacon-point-ai-data-center-campus,Jacobs Awarded EPCM Contract for Hut 8’s 1GW Beacon Point AI Data Center Campus in Texas,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,North America,United States,Texas,Nueces County,27.8006,-97.3964,Digital Infrastructure,Data Centre,Contract Awarded,Contractor Route,17 billion,USD,Hut 8,Hut 8,Jacobs,Jacobs,Sole-source EPCM contract,EPCM contract awarded to Jacobs,Unknown,,700MW expected by Q1 2027; remaining 300MW anticipated by Q4 2028 subject to system upgrades,"EPCM awarded; monitor owner-led procurement, phased packages, utility interconnection, cooling, commissioning, equipment and tenant-driven buildout packages.",Confirmed,2026-05-14,2026-05-21,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/; Sources cited by article: Jacobs; Hut 8,"Approved for beta: article confirms Hut 8 owner, Jacobs sole-source EPCM contract, Nueces County location, 1GW utility capacity, 525-acre footprint, USD 17bn first two phases, and phased energization targets. Coordinates are Nueces County/Corpus Christi-level placement.",Approved,true,true
Commonwealth LNG,commonwealth-lng,"Caturus Reaches FID, Closes $9.75bn Financing and Issues NTP to Technip Energies for Commonwealth LNG in Louisiana",https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,North America,United States,Louisiana,Cameron Parish,29.78,-93.30,Energy,Gas / LNG,Under Construction,Contractor Route,9.75 billion project financing; 21.25 billion total commitments,USD,Caturus / Commonwealth LNG,Caturus / Commonwealth LNG,Technip Energies,Technip Energies; Baker Hughes; Honeywell; Solar Turbines; EQT; Glencore; Mercuria; PETRONAS; Aramco Trading,EPC contract with full Notice to Proceed; project financing close,"FID reached, financing closed and full NTP issued to Technip Energies",FID reached / financial close achieved,,"Operations expected 2030; article key data also states commercial operation targeted for 2029, requiring source check","Full NTP has moved the EPC into execution; opportunities are mainly contractor-route packages, long-lead equipment, module delivery, site execution, commissioning and owner/contractor support.",Likely,2026-05-16,2026-05-21,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/; Sources cited by article: Caturus; Technip Energies,"Not approved yet: article strongly confirms FID, financing close, Caturus/Commonwealth LNG developer, Technip Energies EPC full NTP, 9.5Mtpa capacity and Cameron Parish location, but the article contains inconsistent operation timing references of 2030 and 2029. Coordinates are Cameron Parish-level placement.",Needs Source Check,true,false
North Shore Wastewater Treatment Plant,north-shore-wastewater-treatment-plant,Metro Vancouver and Acciona Settle North Shore Wastewater Treatment Plant Claims for $235 Million,https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/,North America,Canada,British Columbia,North Shore / Vancouver,49.31,-123.08,Water,Wastewater Treatment,Under Construction,Contractor Route,3.86 billion program estimate; 1.95 billion PCL completion contract; 235 million settlement,CAD,Greater Vancouver Sewerage and Drainage District / Metro Vancouver,Metro Vancouver,PCL,PCL; AECOM; Acciona Wastewater Solutions LP / ADAPT Consortium (former contractor),Current construction management/completion contract; former design-build-finance contract; litigation settlement,PCL completion contract executed; former Acciona dispute settled,Unknown,,2030 construction completion identified in Metro Vancouver materials,"Current completion contractor is in place; opportunities are contractor-route delivery support, process equipment, commissioning, claims/governance support and future operations readiness.",Confirmed,2026-05-17,2026-05-21,"https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/; Source cited by article: Metro Vancouver; supporting coverage cited by article: ReNew Canada, Water Canada, PCL","Approved for beta: article confirms Metro Vancouver/GVS&DD owner, water treatment scope, PCL current completion role, AECOM design completion involvement, CAD 3.86bn program estimate, CAD 1.95bn PCL contract, CAD 235m Acciona settlement and 2030 construction completion target. Sector corrected from Transport to Water. Coordinates are North Shore/Vancouver project-area placement.",Approved,true,true
OL32 Skavsta Rail Contract,ol32-skavsta-rail-contract,Feronord Consortium Selected for €1.2 Billion OL32 Skavsta Rail Contract in Sweden,https://constructionfront.com/2026-05-11-feronord-consortium-selected-for-1-2-billion-ol32-skavsta-rail-contract-in-sweden/,Europe,Sweden,Södermanland,Skavsta / East Link corridor south of Stockholm,58.788,16.912,Transport,Rail / Metro,FEED / Design Development,Active Opportunity,50 million first phase; 1.2 billion potential execution phase,EUR,Trafikverket,Trafikverket,Feronord consortium,Infrakraft; Bouygues Travaux Publics; Colas Rail,Collaborative volume contract / staged ECI-style contract,Feronord selected; first EUR 50m order placed; execution phase subject to project moving forward,Unknown,Potential execution phase from early 2028,East Link programme construction 2024-2034; opening planned 2035,"Active development and planning phase before potential EUR 1.2bn execution; monitor design, earthworks, bridge, viaduct, environmental and supply chain packages.",Confirmed,2026-05-11,2026-05-21,https://constructionfront.com/2026-05-11-feronord-consortium-selected-for-1-2-billion-ol32-skavsta-rail-contract-in-sweden/; Sources cited by article: Trafikverket; Colas; Explore Skavsta,"Approved for beta: article confirms Trafikverket client, Feronord consortium selection, consortium members/shares, 36km railway package, 28 bridges, 3 viaducts, EUR 50m first order and potential EUR 1.2bn execution phase. Coordinates are Skavsta corridor-level.",Approved,true,true
