Record ID,Project Name,Slug,Article Title,CF Article URL,Article Category,Article Date,MVP Inclusion,Map Ready,Region,Country,State / Province,City / Area,Latitude,Longitude,Sector,Subsector,Capacity / Scale,Project Value,Currency,Project Stage,BD Timing,Procurement Status,FID Status,Owner / Developer,Client / Public Authority,Main Contractor / EPC / EPCM,Key Contractors / Suppliers,Contract / Procurement Model,Commercial Opportunity,Opportunity Route,Confidence Level,Data Completeness,Review Required,Latest Update Date,Last Reviewed,Source URL,Source Notes
CFP-0001,Gabriela Hybrid Solar-Battery Storage Project,gabriela-hybrid-solar-battery-storage-project,CVC DIF to Acquire Gabriela Hybrid Solar-Battery Storage Project in Northern Chile,https://constructionfront.com/2025-09-06-cvc-dif-to-acquire-gabriela-hybrid-solar-battery-storage-project-in-northern-chile/,News,2025-09-06,Extended coverage / optional,Yes,Latin America,Chile,,,-30,-71,Energy,Solar + BESS,,,,Early Development,Early Watch,Unknown,Unknown,CVC DIF,,,,Unknown,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Owner / developer / public authority,Title-derived - requires article review,0.82,Yes,2025-09-06,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0002,German Grid Expansion,german-grid-expansion,RWE and Apollo Global Management Form Strategic Joint Venture for German Grid Expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,News,2025-09-08,Include in v0 map,Yes,Europe,Germany,,,51.1657,10.4515,Energy,Transmission / Grid,,,,Early Development,Early Watch,Unknown,Unknown,RWE and Apollo Global Management,,,,Unknown,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Owner / developer / public authority,Title-derived - requires article review,0.82,Yes,2025-09-08,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0003,Sakarya Gas Field Phase 3 Offshore Development,sakarya-gas-field-phase-3-offshore-development,Saipem Wins EPCI Contract for Sakarya Gas Field Phase 3 Offshore Development,https://constructionfront.com/2025-09-11-saipem-wins-epci-contract-for-sakarya-gas-field-phase-3-offshore-development/,News,2025-09-11,Extended coverage / optional,Yes,Other,Turkey,Black Sea,Sakarya Gas Field,41.75,31.5,Energy,Gas / LNG,,,,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,Saipem,,EPCI,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.82,Yes,2025-09-11,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0004,"1,250 GWh of Renewable Electricity in Italy",1-250-gwh-of-renewable-electricity-in-italy,"Iberdrola and Selex Sign PPA for 1,250 GWh of Renewable Electricity in Italy",https://constructionfront.com/2025-09-14-iberdrola-and-selex-sign-ppa-for-1250-gwh-of-renewable-electricity-in-italy/,News,2025-09-14,Include after location review,Needs review,Europe,Italy,,,41.8719,12.5674,Energy,Solar,250GWh,,,FID Pending,Active Opportunity,Power Purchase Agreement signed,Pending / not confirmed,Iberdrola and Selex,,,,PPA / offtake,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.88,Yes,2025-09-14,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0005,Wagerup BESS,wagerup-bess,Genus to Deliver 100MW/200MWh Wagerup BESS for Alinta Energy in Western Australia,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,News,2025-09-20,Include after location review,Needs review,Australia & NZ,Australia,,Australia,-25.2744,133.7751,Energy,BESS,100MW; 200MWh,,,Unknown,Low Visibility,Unknown,Unknown,Alinta Energy,,GenusPlus,,Unknown,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Review required,Title-derived - requires article review,0.94,Yes,2025-09-20,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0006,Hyundai E&C to Deliver ‘K-Housing’ in New Zealand via Early Contractor Involveme,hyundai-e-c-to-deliver-k-housing-in-new-zealand-via-early-contractor-involveme,Hyundai E&C to Deliver ‘K-Housing’ in New Zealand via Early Contractor Involvement (ECI) Contract,https://constructionfront.com/2025-09-24-hyundai-ec-to-deliver-k-housing-in-new-zealand-via-early-contractor-involvement-eci-contract/,News,2025-09-24,Include in v0 map,Yes,Australia & NZ,New Zealand,,,-41,174,Social Infrastructure,Housing,,,,Unknown,Low Visibility,Unknown,Unknown,,,Hyundai E&C,,ECI,Insufficient public information; review full article before BD action. Relevant supplier categories should be reviewed against the article and source package.,Review required,Title-derived - requires article review,0.82,Yes,2025-09-24,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0007,OMV’s 140 MW Green Hydrogen Plant,omvs-140-mw-green-hydrogen-plant,STRABAG and Siemens Energy Begin Construction of OMV’s 140 MW Green Hydrogen Plant in Austria,https://constructionfront.com/2025-10-01-strabag-and-siemens-energy-begin-construction-of-omvs-140-mw-green-hydrogen-plant-in-austria/,News,2025-10-01,Include in v0 map,Yes,Europe,Austria,,Schwechat / Vienna area,48.145,16.477,Energy,Hydrogen,140MW,,,Under Construction,Late Stage,Partly Awarded / Under Delivery,Likely reached or not applicable,OMV,,STRABAG and Siemens Energy,,Unknown,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Delivery contractor, subcontractors, commissioning and O&M teams",Title-derived - requires article review,0.94,Yes,2025-10-01,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0008,Richmond Valley Solar & BESS Project,richmond-valley-solar-bess-project,Ark Energy Appoints Elecnor as ECI Contractor for Richmond Valley Solar & BESS Project,https://constructionfront.com/2025-10-01-ark-energy-appoints-elecnor-as-eci-contractor-for-richmond-valley-solar-bess-project/,News,2025-10-01,Include in v0 map,Yes,Australia & NZ,Australia,New South Wales,Richmond Valley,-29,153,Energy,Solar + BESS,,,,Unknown,Low Visibility,Unknown,Unknown,Ark Energy,,Elecnor,,ECI,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Review required,Title-derived - requires article review,0.88,Yes,2025-10-01,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0009,Montreal Port Expansion In-Water Works,montreal-port-expansion-in-water-works,Aecon-Pomerleau JV Reaches Financial Close on $609M Montreal Port Expansion In-Water Works,https://constructionfront.com/2025-10-12-aecon-pomerleau-jv-reaches-financial-close-on-609m-montreal-port-expansion-in-water-works/,News,2025-10-12,Include in v0 map,Yes,North America,Canada,Quebec,Montreal,45.5017,-73.5673,Transport,Port,,$609 M,USD,FID Reached,Active Opportunity,Partly Awarded / Under Delivery,Reached / Closed,Aecon-Pomerleau JV,,Aecon-Pomerleau JV,,Project finance / delivery procurement,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.94,Yes,2025-10-12,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0010,Shah Deniz Compression Project,shah-deniz-compression-project,Saipem Secures $600 M Offshore Contract Package for Shah Deniz Compression Project in Azerbaijan,https://constructionfront.com/2025-10-20-saipem-secures-600-m-offshore-contract-package-for-shah-deniz-compression-project-in-azerbaijan/,News,2025-10-20,Extended coverage / optional,Yes,Other,Azerbaijan,Caspian Sea,Shah Deniz Field,40,50.5,Other,Other,,$600 M,USD,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,Saipem,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant supplier categories should be reviewed against the article and source package.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.88,Yes,2025-10-20,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
