projectName,slug,articleTitle,cfArticleUrl,region,country,stateProvince,cityArea,latitude,longitude,sector,subsector,projectStage,bdTiming,projectValue,currency,ownerDeveloper,clientAuthority,mainContractor,keyContractors,contractType,procurementStatus,fidStatus,constructionStart,completionTarget,commercialOpportunity,confidenceLevel,latestUpdateDate,lastReviewed,sourceUrl,sourceNotes,reviewStatus,mapReady,includeInV0Map
Gabriela Hybrid Solar-Battery Storage Project,gabriela-hybrid-solar-battery-storage-project,CVC DIF to Acquire Gabriela Hybrid Solar-Battery Storage Project in Northern Chile,https://constructionfront.com/2025-09-06-cvc-dif-to-acquire-gabriela-hybrid-solar-battery-storage-project-in-northern-chile/,Other,Chile,,,-30,-71,Energy,Solar + BESS,Early Development,Early Watch,,,CVC DIF,,,,Unknown,Unknown,Unknown,,,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2025-09-06,2026-05-21,https://constructionfront.com/2025-09-06-cvc-dif-to-acquire-gabriela-hybrid-solar-battery-storage-project-in-northern-chile/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,false
German Grid Expansion,german-grid-expansion,RWE and Apollo Global Management Form Strategic Joint Venture for German Grid Expansion,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Europe,Germany,,,51.1657,10.4515,Energy,Transmission / Grid,Early Development,Early Watch,,,RWE and Apollo Global Management,,,,Unknown,Unknown,Unknown,,,"Monitor approvals, financing/FID and procurement signals; suitable for early relationship-building with owner/developer. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2025-09-08,2026-05-21,https://constructionfront.com/2025-09-08-rwe-and-apollo-global-management-form-strategic-joint-venture-for-german-grid-expansion/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Sakarya Gas Field Phase 3 Offshore Development,sakarya-gas-field-phase-3-offshore-development,Saipem Wins EPCI Contract for Sakarya Gas Field Phase 3 Offshore Development,https://constructionfront.com/2025-09-11-saipem-wins-epci-contract-for-sakarya-gas-field-phase-3-offshore-development/,Other,Turkey,Black Sea,Sakarya Gas Field,41.75,31.5,Energy,Gas / LNG,Contract Awarded,Contractor Route,,,,,Saipem,,EPCI,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2025-09-11,2026-05-21,https://constructionfront.com/2025-09-11-saipem-wins-epci-contract-for-sakarya-gas-field-phase-3-offshore-development/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,false
"1,250 GWh of Renewable Electricity in Italy",1-250-gwh-of-renewable-electricity-in-italy,"Iberdrola and Selex Sign PPA for 1,250 GWh of Renewable Electricity in Italy",https://constructionfront.com/2025-09-14-iberdrola-and-selex-sign-ppa-for-1250-gwh-of-renewable-electricity-in-italy/,Europe,Italy,,,41.8719,12.5674,Energy,Solar,FID Pending,Active Opportunity,,,Iberdrola and Selex,,,,PPA / offtake,Power Purchase Agreement signed,Pending / not confirmed,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2025-09-14,2026-05-21,https://constructionfront.com/2025-09-14-iberdrola-and-selex-sign-ppa-for-1250-gwh-of-renewable-electricity-in-italy/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
Wagerup BESS,wagerup-bess,Genus to Deliver 100MW/200MWh Wagerup BESS for Alinta Energy in Western Australia,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,Australia & NZ,Australia,,Australia,-25.2744,133.7751,Energy,BESS,Unknown,Low Visibility,,,Alinta Energy,,GenusPlus,,Unknown,Unknown,Unknown,,,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2025-09-20,2026-05-21,https://constructionfront.com/2025-09-20-genusplus-to-deliver-100mw-200mwh-wagerup-bess-for-alinta-energy-in-western-australia/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
Hyundai E&C to Deliver ‘K-Housing’ in New Zealand via Early Contractor Involveme,hyundai-e-c-to-deliver-k-housing-in-new-zealand-via-early-contractor-involveme,Hyundai E&C to Deliver ‘K-Housing’ in New Zealand via Early Contractor Involvement (ECI) Contract,https://constructionfront.com/2025-09-24-hyundai-ec-to-deliver-k-housing-in-new-zealand-via-early-contractor-involvement-eci-contract/,Australia & NZ,New Zealand,,,-41,174,Social Infrastructure,Housing,Unknown,Low Visibility,,,,,Hyundai E&C,,ECI,Unknown,Unknown,,,Insufficient public information; review full article before BD action. Relevant supplier categories should be reviewed against the article and source package.,Needs Review,2025-09-24,2026-05-21,https://constructionfront.com/2025-09-24-hyundai-ec-to-deliver-k-housing-in-new-zealand-via-early-contractor-involvement-eci-contract/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
OMV’s 140 MW Green Hydrogen Plant,omvs-140-mw-green-hydrogen-plant,STRABAG and Siemens Energy Begin Construction of OMV’s 140 MW Green Hydrogen Plant in Austria,https://constructionfront.com/2025-10-01-strabag-and-siemens-energy-begin-construction-of-omvs-140-mw-green-hydrogen-plant-in-austria/,Europe,Austria,,Schwechat / Vienna area,48.145,16.477,Energy,Hydrogen,Under Construction,Late Stage,,,OMV,,STRABAG and Siemens Energy,,Unknown,Partly Awarded / Under Delivery,Likely reached or not applicable,,,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2025-10-01,2026-05-21,https://constructionfront.com/2025-10-01-strabag-and-siemens-energy-begin-construction-of-omvs-140-mw-green-hydrogen-plant-in-austria/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Richmond Valley Solar & BESS Project,richmond-valley-solar-bess-project,Ark Energy Appoints Elecnor as ECI Contractor for Richmond Valley Solar & BESS Project,https://constructionfront.com/2025-10-01-ark-energy-appoints-elecnor-as-eci-contractor-for-richmond-valley-solar-bess-project/,Australia & NZ,Australia,New South Wales,Richmond Valley,-29,153,Energy,Solar + BESS,Unknown,Low Visibility,,,Ark Energy,,Elecnor,,ECI,Unknown,Unknown,,,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2025-10-01,2026-05-21,https://constructionfront.com/2025-10-01-ark-energy-appoints-elecnor-as-eci-contractor-for-richmond-valley-solar-bess-project/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Montreal Port Expansion In-Water Works,montreal-port-expansion-in-water-works,Aecon-Pomerleau JV Reaches Financial Close on $609M Montreal Port Expansion In-Water Works,https://constructionfront.com/2025-10-12-aecon-pomerleau-jv-reaches-financial-close-on-609m-montreal-port-expansion-in-water-works/,North America,Canada,Quebec,Montreal,45.5017,-73.5673,Transport,Port,FID Reached,Active Opportunity,$609 M,USD,Aecon-Pomerleau JV,,Aecon-Pomerleau JV,,Project finance / delivery procurement,Partly Awarded / Under Delivery,Reached / Closed,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2025-10-12,2026-05-21,https://constructionfront.com/2025-10-12-aecon-pomerleau-jv-reaches-financial-close-on-609m-montreal-port-expansion-in-water-works/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Shah Deniz Compression Project,shah-deniz-compression-project,Saipem Secures $600 M Offshore Contract Package for Shah Deniz Compression Project in Azerbaijan,https://constructionfront.com/2025-10-20-saipem-secures-600-m-offshore-contract-package-for-shah-deniz-compression-project-in-azerbaijan/,Other,Azerbaijan,Caspian Sea,Shah Deniz Field,40,50.5,Other,Other,Contract Awarded,Contractor Route,$600 M,USD,,,Saipem,,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant supplier categories should be reviewed against the article and source package.",Needs Review,2025-10-20,2026-05-21,https://constructionfront.com/2025-10-20-saipem-secures-600-m-offshore-contract-package-for-shah-deniz-compression-project-in-azerbaijan/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,false
