partyId,projectSlug,updateId,partyName,partyRole,partyType,notes,sourceUrl,reviewStatus
PTY-ELP-001,el-patrimonio-solar-project,UPD-ELP-20260513,Ashtrom Renewable Energy,Owner / Developer,Private Developer,Developer named in article.,ConstructionFront article; Ashtrom Renewable Energy,Approved
PTY-ELP-002,el-patrimonio-solar-project,UPD-ELP-20260513,CPS Energy,Offtaker / Utility / Power Purchaser,Utility,20-year PPA covers about 70% of output; not a contractor role.,ConstructionFront article; CPS Energy,Approved
PTY-ELP-003,el-patrimonio-solar-project,UPD-ELP-20260513,SOLV Energy,Construction and O&M Partner,Contractor / Service Provider,Article identifies SOLV Energy construction-through-operations role.,ConstructionFront article,Approved
PTY-D35-001,d35-motorway-ulibice-horice,UPD-D35-20260507,Ředitelství silnic a dálnic,Client / Public Authority,Public Authority,National road authority/client.,ConstructionFront article; road authority information,Approved
PTY-D35-002,d35-motorway-ulibice-horice,UPD-D35-20260507,STRABAG-led consortium,Main Contractor / Consortium,Contractor JV / Consortium,JV/consortium record retained for searchable consortium name.,ConstructionFront article; STRABAG,Approved
PTY-D35-003,d35-motorway-ulibice-horice,UPD-D35-20260507,STRABAG SIS a.s.,JV Member / Contractor,Contractor,Consortium member split out from JV for searchability.,ConstructionFront article; STRABAG,Approved
PTY-BEACON-001,beacon-point-ai-data-center-campus,UPD-BEACON-20260514,Hut 8,Owner / Developer,Private Developer / Operator,Owner/developer of Beacon Point campus.,ConstructionFront article; Hut 8,Approved
PTY-BEACON-002,beacon-point-ai-data-center-campus,UPD-BEACON-20260514,Jacobs,EPCM Contractor,Engineering / EPCM Contractor,Sole-source EPCM contract award; not an owner role.,ConstructionFront article; Jacobs,Approved
PTY-CWLNG-001,commonwealth-lng,UPD-CWLNG-20260516,Caturus / Commonwealth LNG,Owner / Developer,Private Developer,Developer/owner group for Commonwealth LNG.,ConstructionFront article; Caturus,Needs Source Check
PTY-CWLNG-002,commonwealth-lng,UPD-CWLNG-20260516,Technip Energies,EPC Contractor,Contractor,Full NTP issued for EPC execution.,ConstructionFront article; Technip Energies,Needs Source Check
PTY-CWLNG-003,commonwealth-lng,UPD-CWLNG-20260516,Baker Hughes,Equipment Supplier,Supplier,Named in pilot source notes as key contractor/supplier; exact package should be verified before production use.,ConstructionFront article,Needs Source Check
PTY-CWLNG-004,commonwealth-lng,UPD-CWLNG-20260516,EQT,Offtaker / Commercial Counterparty,Offtaker / Customer,Named in pilot source notes among commercial parties; classify separately from contractor.,ConstructionFront article,Needs Source Check
PTY-CWLNG-005,commonwealth-lng,UPD-CWLNG-20260516,PETRONAS,Offtaker / Commercial Counterparty,Offtaker / Customer,Named in pilot source notes among commercial parties; classify separately from contractor.,ConstructionFront article,Needs Source Check
PTY-GERGRID-001,german-grid-expansion-amprion-financing,UPD-GERGRID-20250908,Amprion,Network Owner / Client,Transmission System Operator,Grid company associated with the financing programme.,ConstructionFront article; RWE,Needs Source Check
PTY-GERGRID-002,german-grid-expansion-amprion-financing,UPD-GERGRID-20250908,RWE,Investor / Shareholder,Utility / Investor,"JV participant; classify as investor/shareholder, not contractor.",ConstructionFront article; RWE,Needs Source Check
PTY-GERGRID-003,german-grid-expansion-amprion-financing,UPD-GERGRID-20250908,Apollo Global Management,Lender / Financier / Investor,Financial Investor,Infrastructure equity financing role; not contractor.,ConstructionFront article; RWE,Needs Source Check
